Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""TC013/Page_Brivge/input_Customs Invoice(Export)""), findTestData(""Toyotsu-data"").getValue(12, 2))",Chrome 107.0.0.0,,,2022-11-15 14:28:15,2022-11-15 14:28:18,2.768s,PASSED
"click(findTestObject(""TC013/Page_Brivge/checkbox""))",Chrome 107.0.0.0,,,2022-11-15 14:28:18,2022-11-15 14:28:18,0.544s,PASSED
"click(findTestObject(""TC013/Page_Brivge/button_update 1""))",Chrome 107.0.0.0,<---- Update cargo status ---->,,2022-11-15 14:28:18,2022-11-15 14:28:19,0.564s,PASSED
"click(findTestObject(""TC013/Page_Brivge/input_Input Cargo Status_cargoStatus""))",Chrome 107.0.0.0,,,2022-11-15 14:28:19,2022-11-15 14:28:20,1.024s,PASSED
"click(findTestObject(""TC013/Page_Brivge/li_Exp clearance in progress""))",Chrome 107.0.0.0,,,2022-11-15 14:28:20,2022-11-15 14:28:20,0.528s,PASSED
"click(findTestObject(""TC013/Page_Brivge/button_update 2""))",Chrome 107.0.0.0,,,2022-11-15 14:28:20,2022-11-15 14:28:21,0.493s,PASSED
"verifyElementVisible(findTestObject(""TC013/Page_Brivge/p_The operation was successful""))",Chrome 107.0.0.0,,,2022-11-15 14:28:21,2022-11-15 14:28:22,0.889s,PASSED
delay(5),Chrome 107.0.0.0,,,2022-11-15 14:28:22,2022-11-15 14:28:27,5.003s,PASSED
"click(findTestObject(""TC013/Page_Brivge/button_completed""))",Chrome 107.0.0.0,<---- Complete custom invoice ---->,,2022-11-15 14:28:27,2022-11-15 14:28:27,0.551s,PASSED
"click(findTestObject(""TC013/Page_Brivge/button_CONFIRM""))",Chrome 107.0.0.0,,,2022-11-15 14:28:27,2022-11-15 14:28:28,1.113s,PASSED
"verifyElementVisible(findTestObject(""TC013/Page_Brivge/p_The operation was successful""))",Chrome 107.0.0.0,,,2022-11-15 14:28:28,2022-11-15 14:28:29,0.789s,PASSED
"click(findTestObject(""TC013/Page_Brivge/button_print 1""))",Chrome 107.0.0.0,<---- Print invoice ---->,,2022-11-15 14:28:29,2022-11-15 14:28:30,0.553s,PASSED
"click(findTestObject(""TC013/Page_Brivge/div_Print Invoice""))",Chrome 107.0.0.0,,,2022-11-15 14:28:30,2022-11-15 14:28:30,0.612s,PASSED
"click(findTestObject(""TC013/Page_Brivge/button_Print 2""))",Chrome 107.0.0.0,,,2022-11-15 14:28:30,2022-11-15 14:28:31,0.516s,PASSED
"verifyElementVisible(findTestObject(""TC013/Page_Brivge/p_The operation was successful""))",Chrome 107.0.0.0,,,2022-11-15 14:28:31,2022-11-15 14:28:34,2.583s,PASSED
takeFullPageScreenshot(),Chrome 107.0.0.0,,,2022-11-15 14:28:34,2022-11-15 14:28:36,2.314s,PASSED
,,,,,,,
Test Cases/TC014 - Customer Complete Import Customs Invoice (Customer),Chrome 107.0.0.0,,,2022-11-15 14:28:36,2022-11-15 14:29:24,47.891s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameLuqman, ""password"":passwordLuqman, ""verification"":verificationLuqman, ""company"":vnttvn], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 14:28:37,2022-11-15 14:29:01,24.479s,PASSED
"click(findTestObject(""TC014/Page_Brivge/button_Logistics""))",Chrome 107.0.0.0,,,2022-11-15 14:29:01,2022-11-15 14:29:06,4.488s,PASSED
"click(findTestObject(""TC014/Page_Brivge/li_Customs Invoice List(Import)""))",Chrome 107.0.0.0,,,2022-11-15 14:29:06,2022-11-15 14:29:07,1.291s,PASSED
"setText(findTestObject(""TC014/Page_Brivge/input_Customs Invoice(Import)""), findTestData(""Toyotsu-data"").getValue(12, 2))",Chrome 107.0.0.0,,,2022-11-15 14:29:07,2022-11-15 14:29:10,2.634s,PASSED
"click(findTestObject(""TC014/Page_Brivge/input_checkbox""))",Chrome 107.0.0.0,,,2022-11-15 14:29:10,2022-11-15 14:29:10,0.582s,PASSED
"click(findTestObject(""TC014/Page_Brivge/button_input cargo status""))",Chrome 107.0.0.0,,,2022-11-15 14:29:10,2022-11-15 14:29:11,0.569s,PASSED
"click(findTestObject(""TC014/Page_Brivge/input_Input Cargo Status_cargoStatus""))",Chrome 107.0.0.0,,,2022-11-15 14:29:11,2022-11-15 14:29:12,1.096s,PASSED
"click(findTestObject(""TC014/Page_Brivge/li_Imp clearance in progress""))",Chrome 107.0.0.0,,,2022-11-15 14:29:12,2022-11-15 14:29:12,0.496s,PASSED
"click(findTestObject(""TC014/Page_Brivge/button_update""))",Chrome 107.0.0.0,,,2022-11-15 14:29:12,2022-11-15 14:29:13,0.591s,PASSED
"verifyElementVisible(findTestObject(""TC014/Page_Brivge/p_The operation was successful""))",Chrome 107.0.0.0,,,2022-11-15 14:29:13,2022-11-15 14:29:14,1.039s,PASSED
delay(5),Chrome 107.0.0.0,,,2022-11-15 14:29:14,2022-11-15 14:29:19,5.002s,PASSED
"click(findTestObject(""TC014/Page_Brivge/button_complete""))",Chrome 107.0.0.0,,,2022-11-15 14:29:19,2022-11-15 14:29:20,0.459s,PASSED
"click(findTestObject(""TC014/Page_Brivge/button_CONFIRM""))",Chrome 107.0.0.0,,,2022-11-15 14:29:20,2022-11-15 14:29:21,1.078s,PASSED
"verifyElementVisible(findTestObject(""TC014/Page_Brivge/p_The operation was successful""))",Chrome 107.0.0.0,,,2022-11-15 14:29:21,2022-11-15 14:29:21,0.715s,PASSED
"verifyElementText(findTestObject(""TC014/Page_Brivge/div_Imp clearance in progress""), ""Imp clearance in progress"")",Chrome 107.0.0.0,,,2022-11-15 14:29:21,2022-11-15 14:29:22,0.581s,PASSED
"verifyElementText(findTestObject(""TC014/Page_Brivge/div_Customs Clearance Completed""), ""Customs Clearance Completed"")",Chrome 107.0.0.0,,,2022-11-15 14:29:22,2022-11-15 14:29:24,1.806s,PASSED
,,,,,,,
Test Cases/TC015 - Customer Inbound Details (Customer),Chrome 107.0.0.0,,,2022-11-15 14:30:24,2022-11-15 14:30:28,4.390s,FAILED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameLuqman, ""password"":passwordLuqman, ""verification"":verificationLuqman, ""company"":vnttvn], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 14:30:24,2022-11-15 14:30:28,4.363s,FAILED
