Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"focus(findTestObject(""delete order summary/input_Forecast Change_lcbm-MuiInputBase-input lcbm-MuiFilledInput-input lcbm-lcbm110 lcbm-MuiInputBase-inputAdornedEnd lcbm-MuiFilledInput-inputAdornedEnd""), STOP_ON_FAILURE)",Chrome 107.0.0.0,Contract Route No. generated from TC001,,2022-11-15 16:40:06,2022-11-15 16:40:07,1.072s,PASSED
"setText(findTestObject(""delete order summary/input_Forecast Change_lcbm-MuiInputBase-input lcbm-MuiFilledInput-input lcbm-lcbm110 lcbm-MuiInputBase-inputAdornedEnd lcbm-MuiFilledInput-inputAdornedEnd""), findTestData(""Toyotsu-data"").getValue(1, 2))",Chrome 107.0.0.0,Contract Route No. generated from TC001,,2022-11-15 16:40:07,2022-11-15 16:40:12,4.348s,PASSED
delay(2),Chrome 107.0.0.0,,,2022-11-15 16:40:12,2022-11-15 16:40:14,2.021s,PASSED
"click(findTestObject(""TC004/create button""))",Chrome 107.0.0.0,,,2022-11-15 16:40:14,2022-11-15 16:40:15,1.086s,PASSED
"doubleClick(findTestObject(""TC004/input 1""))",Chrome 107.0.0.0,,,2022-11-15 16:40:15,2022-11-15 16:40:16,1.236s,PASSED
"sendKeys(findTestObject(""TC004/input 1""), ""1500"")",Chrome 107.0.0.0,,,2022-11-15 16:40:16,2022-11-15 16:40:18,2.207s,PASSED
"doubleClick(findTestObject(""TC004/input 2""))",Chrome 107.0.0.0,,,2022-11-15 16:40:18,2022-11-15 16:40:19,0.719s,PASSED
"sendKeys(findTestObject(""TC004/input 2""), ""1500"")",Chrome 107.0.0.0,,,2022-11-15 16:40:19,2022-11-15 16:40:20,0.539s,PASSED
"click(findTestObject(""TC004/button input shipping plan""))",Chrome 107.0.0.0,,,2022-11-15 16:40:20,2022-11-15 16:40:20,0.759s,PASSED
"click(findTestObject(""TC004/input__newInboundPlanDate""))",Chrome 107.0.0.0,,,2022-11-15 16:40:20,2022-11-15 16:40:21,1.011s,PASSED
"doubleClick(findTestObject(""TC004/button next calendar""))",Chrome 107.0.0.0,,,2022-11-15 16:40:21,2022-11-15 16:40:23,1.841s,PASSED
"doubleClick(findTestObject(""TC004/button next calendar""))",Chrome 107.0.0.0,,,2022-11-15 16:40:23,2022-11-15 16:40:24,1.218s,PASSED
"doubleClick(findTestObject(""TC004/button next calendar""))",Chrome 107.0.0.0,,,2022-11-15 16:40:24,2022-11-15 16:40:26,1.198s,PASSED
"click(findTestObject(""TC004/button_17""))",Chrome 107.0.0.0,,,2022-11-15 16:40:26,2022-11-15 16:40:27,1.140s,PASSED
"click(findTestObject(""TC004/button_Confirm input plan""))",Chrome 107.0.0.0,,,2022-11-15 16:40:27,2022-11-15 16:40:28,0.989s,PASSED
"doubleClick(findTestObject(""TC004/input 3""))",Chrome 107.0.0.0,,,2022-11-15 16:40:28,2022-11-15 16:40:29,0.851s,PASSED
"sendKeys(findTestObject(""TC004/input 3""), ""1500"")",Chrome 107.0.0.0,,,2022-11-15 16:40:29,2022-11-15 16:40:29,0.624s,PASSED
"doubleClick(findTestObject(""TC004/input 4""))",Chrome 107.0.0.0,,,2022-11-15 16:40:29,2022-11-15 16:40:30,0.604s,PASSED
"sendKeys(findTestObject(""TC004/input 4""), ""1500"")",Chrome 107.0.0.0,,,2022-11-15 16:40:30,2022-11-15 16:40:30,0.507s,PASSED
y = util.generateTime.dateTimeGenerator(),Chrome 107.0.0.0,,,2022-11-15 16:40:30,2022-11-15 16:40:30,0.001s,PASSED
"util.copyToExcel.exel(y, 1, 1)",Chrome 107.0.0.0,,,2022-11-15 16:40:30,2022-11-15 16:40:30,0.075s,PASSED
